Season,Date,DAP,Rain,Tmax,Tmin,Tmean,cum_GDD,IRRAD,Cumulative_Radiation
2024,2024-06-27,45,0,28.838,16.469,22.9221111111112,618.206772916667,26.94066552,787.15564806
2024,2024-06-28,46,0,21.351,11.91,17.5135277777778,633.720300694444,24.91608348,812.07173154
2024,2024-06-29,47,0.7,26.637,9.5,18.4814819444444,650.201782638889,26.33323752,838.40496906
2024,2024-06-30,48,2.68,22.078,13.682,17.8651659722222,666.066948611111,14.7190833,853.12405236
2024,2024-07-01,49,0.07,19.572,12.012,15.8943652777778,679.961313888889,16.66971642,869.79376878
2024,2024-07-02,50,5.37999999999999,18.771,11.132,15.2228840277778,693.184197916667,13.75228554,883.54605432
2024,2024-07-03,51,4.11,17.13,9.656,13.6543388888889,704.838536805556,12.09644058,895.6424949
2024,2024-07-04,52,5.21,18.426,12.926,15.8525777777778,718.691114583333,27.75472548,923.39722038
2024,2024-07-05,53,0.27,17.871,13.468,15.7484229166667,732.4395375,7.76353644,931.16075682
2024,2024-07-06,54,2.21,20.763,12.237,16.5931756944444,747.032713194444,17.11588734,948.27664416
2024,2024-07-07,55,4.04,19.06,10.927,14.4341875,759.466900694444,16.70109042,964.97773458
2024,2024-07-08,56,0,21.328,10.467,17.0682722222222,774.535172916667,20.61667578,985.59441036
2024,2024-07-09,57,26.98,29.638,15.188,21.3073743055556,793.842547222222,20.21593284,1005.8103432
2024,2024-07-10,58,0.48,23.835,13.262,19.2848076388889,811.127354861111,21.22856712,1027.03891032
2024,2024-07-11,59,0,21.488,13.286,17.3811388888889,826.50849375,24.34128468,1051.380195
2024,2024-07-12,60,26.01,15.457,13.186,14.3144951388889,838.822988888889,5.07213084,1056.45232584
2024,2024-07-13,61,0.66,17.819,10.566,14.6693444444445,851.492333333333,13.75720842,1070.20953426
2024,2024-07-14,62,0,21.636,9.753,16.07460625,865.566939583333,24.03944214,1094.2489764
2024,2024-07-15,63,0.43,25.791,11.43,19.4342104166667,883.00115,24.25891092,1118.50788732
2024,2024-07-16,64,3.42,22.074,15.249,18.2333902777778,899.234540277778,19.06692762,1137.57481494
2024,2024-07-17,65,0,23.404,13.594,18.3470104166667,915.581550694444,21.32144562,1158.89626056
2024,2024-07-18,66,0,27.911,11.967,20.5755076388889,934.157058333333,27.04978284,1185.9460434
2024,2024-07-19,67,0,29.604,15.17,22.3052694444445,954.462327777778,15.86245974,1201.80850314
2024,2024-07-20,68,2.32,30.829,15.444,22.9901291666667,975.452456944444,25.16801394,1226.97651708
2024,2024-07-21,69,8.75999999999999,23.046,15.852,19.7457361111111,993.198193055555,9.37914816,1236.35566524
2024,2024-07-22,70,0,23.674,13.293,18.9846631944444,1010.18285625,21.20528628,1257.56095152
2024,2024-07-23,71,10.48,22.324,15.472,18.8685270833333,1027.05138333333,14.91208932,1272.47304084
2024,2024-07-24,72,0,21.451,11.635,17.4627631944444,1042.51414652778,19.96623936,1292.4392802
2024,2024-07-25,73,1.05,24.318,10.898,18.7187576388889,1059.23290416667,14.36954964,1306.80882984
2024,2024-07-26,74,2.72,22.91,14.848,19.3296854166667,1076.56258958333,18.69441024,1325.50324008
2024,2024-07-27,75,0,23.295,11.836,18.2836597222222,1092.84624930556,18.026763,1343.53000308
2024,2024-07-28,76,0,23.721,13.276,18.3945152777778,1109.24076458333,23.9691999,1367.49920298
2024,2024-07-29,77,0,26.421,11.292,19.8810604166667,1127.121825,27.4666833,1394.96588628
2024,2024-07-30,78,0,30.17,14.779,22.7752616562282,1147.89708665623,25.46791032,1420.4337966
2024,2024-07-31,79,0,28.606,15.086,21.5584465277778,1167.45553318401,20.3232588,1440.7570554
2024,2024-08-01,80,0.22,22.457,15.228,19.1423777777778,1184.59791096178,7.59313014,1448.35018554
2024,2024-08-02,81,0,26.408,13.196,19.75106875,1202.34897971178,24.75233928,1473.10252482
2024,2024-08-03,82,1.3,24.289,16.051,19.8125097222222,1220.16148943401,14.35102908,1487.4535539
2024,2024-08-04,83,0,21.045,15.138,18.0124972222222,1236.17398665623,14.77158654,1502.22514044
2024,2024-08-05,84,0,24.645,13.431,19.3672069444445,1253.54119360067,23.8027092,1526.02784964
2024,2024-08-06,85,0,29.402,12.045,21.4913965277778,1273.03259012845,23.58704286,1549.6148925
2024,2024-08-07,86,18.43,23.44,15.947,18.992275,1290.02486512845,16.17651978,1565.79141228
2024,2024-08-08,87,0,23.929,15.987,19.8723402777778,1307.89720540623,21.12354504,1586.91495732
2024,2024-08-09,88,0.48,24.037,14.078,20.2496048611111,1326.14681026734,14.08656114,1601.00151846
2024,2024-08-10,89,0,24.954,14.315,19.9590902777778,1344.10590054512,21.88605444,1622.8875729
2024,2024-08-11,90,0,27.87,14.921,21.7594840277778,1363.86538457289,25.0583784,1647.9459513
2024,2024-08-12,91,0,31.405,15.112,24.2552340277778,1386.12061860067,24.29819742,1672.24414872
2024,2024-08-13,92,0,31.494,19.816,25.024475,1409.14509360067,22.57337658,1694.8175253
2024,2024-08-14,93,0.07,24.969,17.112,21.0485805555556,1428.19367415623,10.05442422,1704.87194952
2024,2024-08-15,94,0,25.951,17.135,21.1649888888889,1447.35866304512,20.29989042,1725.17183994
2024,2024-08-16,95,4.57,21.63,18.143,19.5757618055555,1464.93442485067,7.27064442,1732.44248436
2024,2024-08-17,96,0.81,23.973,15.459,19.0521833333334,1481.98660818401,23.37652278,1755.81900714
2024,2024-08-18,97,0,23.782,11.003,18.0003041666667,1497.98691235067,15.7485645,1771.56757164
2024,2024-08-19,98,0,23.247,9.2,16.5896361111111,1512.57654846178,20.43099882,1791.99857046
2024,2024-08-20,99,13.02,24.287,13.148,17.9551,1528.53164846178,15.2521491,1807.25071956
2024,2024-08-21,100,0,19.991,11.401,15.4693527777778,1542.00100123956,19.12009266,1826.37081222
2024,2024-08-22,101,0,23.422,11.562,18.2439888888889,1558.24499012845,17.55779388,1843.9286061
2024,2024-08-23,102,0.05,23.38,14.622,19.3184826388889,1575.56347276734,11.57015814,1855.49876424
2024,2024-08-24,103,0,17.078,13.459,15.8167182320442,1589.38019099938,,
2024,2024-08-25,104,0.19,20.472,12.014,15.612843902439,1602.99303490182,7.95878466,1863.4575489
2024,2024-08-26,105,0,21.697,11.325,16.3071727912432,1617.30020769307,14.745162,1878.2027109
2024,2024-08-27,106,0,25.112,9.937,17.3386916666666,1632.63889935973,20.76600378,1898.96871468
2024,2024-08-28,107,0,29.055,9.683,20.0644458333333,1650.70334519307,20.75042052,1919.7191352
2024,2024-08-29,108,0,26.144,14.228,19.9816520833334,1668.6849972764,18.98134644,1938.70048164
2024,2024-08-30,109,0.05,22.579,14.837,17.8458708333333,1684.53086810973,11.04957228,1949.75005392
2024,2024-08-31,110,0.36,23.567,14.571,18.7680333333333,1701.29890144307,18.64057332,1968.39062724
2024,2024-09-01,111,0,29.179,15.199,22.51874375,1721.81764519307,19.30407738,1987.69470462
2024,2024-09-02,112,0,29.447,16.797,22.89066875,1742.70831394307,16.9587855,2004.65349012
2024,2024-09-03,113,2.66,23.593,15.788,20.3034256944445,1761.01173963751,8.02655772,2012.68004784
2024,2024-09-04,114,0.47,21.609,14.779,18.2600097222222,1777.27174935973,8.32546434,2021.00551218
2024,2024-09-05,115,0.03,29.023,13.801,22.0677270833333,1797.33947644307,14.70626628,2035.71177846
2024,2024-09-06,116,13.13,27.659,16.982,21.6065763888889,1816.94605283195,14.51344542,2050.22522388
2024,2024-09-07,117,0,27.192,16.195,21.3631208333333,1836.30917366529,16.94534538,2067.17056926
2024,2024-09-08,118,0.23,22.338,12.776,18.9522954545455,1853.26146911983,16.1218818,2083.29245106
2025,2025-05-07,0,0,17.489,6.431,11.0863027777778,9.08630277777777,15.05255532,15.05255532
2025,2025-05-08,1,0,18.96,3.893,11.9178895833333,19.0041923611111,18.4796475,33.53220282
2025,2025-05-09,2,0,20.641,4,13.6178388888889,30.62203125,27.61090122,61.14310404
2025,2025-05-10,3,0,22.732,4.151,15.5229666666667,44.1449979166666,27.8142639,88.95736794
2025,2025-05-11,4,0,25.189,6.732,17.9590229166667,60.1040208333333,27.74329578,116.70066372
2025,2025-05-12,5,0,24.21,12.015,18.4596631944445,76.5636840277778,27.87804312,144.57870684
2025,2025-05-13,6,0,23.294,8.652,16.3559847222222,90.91966875,28.91080866,173.4895155
2025,2025-05-14,7,0,20.705,6.193,13.6551736111111,102.574842361111,25.49778108,198.98729658
2025,2025-05-15,8,0,19.992,7.133,13.7754111111111,114.350253472222,27.68444718,226.67174376
2025,2025-05-16,9,0,18.365,3.682,11.5823243055556,123.932577777778,27.53386812,254.20561188
2025,2025-05-17,10,0,19.115,4.851,12.6792208333333,134.611798611111,28.44140448,282.64701636
2025,2025-05-18,11,0,18.256,7.299,13.5516375,146.163436111111,15.1629114,297.80992776
2025,2025-05-19,12,0,22.682,4.394,14.6212013888889,158.7846375,29.069382,326.87930976
2025,2025-05-20,13,0,21.689,6.926,14.8453180555555,171.629955555556,28.86935784,355.7486676
2025,2025-05-21,14,0.03,18.933,4.36,12.3926763888889,182.022631944444,20.61269766,376.36136526
2025,2025-05-22,15,0,15.392,4.987,10.6003534722222,190.622985416667,24.80474388,401.16610914
2025,2025-05-23,16,1.13,13.901,4.132,9.39907777777776,198.022063194444,19.70436018,420.87046932
2025,2025-05-24,17,6.49999999999999,15.009,4.894,11.9228576388889,207.944920833333,8.49870126,429.36917058
2025,2025-05-25,18,2.1,18.954,9.943,15.2840402777778,221.228961111111,14.07768558,443.44685616
2025,2025-05-26,19,0,18.802,11.515,15.1277305555556,234.356691666667,21.79000104,465.2368572
2025,2025-05-27,20,15.82,18.415,11.91,14.2654458333333,246.6221375,8.94036234,474.17721954
2025,2025-05-28,21,2.62,18.923,7.47,14.8286729166666,259.450810416667,17.91132198,492.08854152
2025,2025-05-29,22,0.92,19.303,5.904,14.2741166666667,271.724927083333,8.1022098,500.19075132
2025,2025-05-30,23,0,23.078,10.49,17.3584826388889,287.083409722222,18.8866581,519.07740942
2025,2025-05-31,24,7.95,26.058,8.861,18.7986965277778,303.88210625,23.0399727,542.11738212
